,APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
0,63024010,185.10723869999998,825.2837712,Single Family Residential,1952,3378.18,2015,76383,76383,152766,13.09277712,12.82827116,167.9576952,0.6920000000000001,8883.27198481968,detached,-122.13312461,37.48223715,"2896 Illinois St, East Palo Alto, CA 94303, USA",2896 Illinois St,9051.16,1.0,1.0,"$77,910.00 ",0.0,1.0,0.0,Single Family Residence,4,63,1,0.0,183957,384.29,,5/25/2007,2017,"$77,910 ",,"$155,820 ","$7,000 ","$148,820 ",Annual,21031.0,1.0,East Palo Alto,384.0833428,8883.280581,-122.1331246,37.48223715
1,63011180,232.9427681,515.4742556,Single Family Residential,1953,2728.14,2015,51460,68616,120076,18.62470604,5.086133607,94.72774332,-1.0,5548.51333985284,attached,-122.13587534,37.48213399,"1767 Tulane Ave, East Palo Alto, CA 94303, USA",1767 Tulane Ave,5784.51,1.0,,"$69,988.00 ",0.0,1.0,0.0,Single Family Residence,1,63,18,0.0,184062,331.85,,5/25/2007,2017,"$52,489 ",,"$122,477 ","$7,000 ","$115,477 ",Annual,21019.0,1.0,East Palo Alto,324.3555085,5548.518709,-122.13587530000001,37.48213399
2,63023340,570.4160959,455.72521860000006,Single Family Residential,1953,4616.08,2015,180376,79577,259953,9.402257145,6.1857355179999995,58.15987597,0.192,4905.38068048854,none,-122.13444738,37.48164373,"2870 Fordham St, East Palo Alto, CA 94303, USA",2870 Fordham St,5245.1,,,"$81,168.00 ",0.0,1.0,0.0,Single Family Residence,3,63,34,0.0,183906,309.81,,5/25/2007,2017,"$183,983 ",,"$265,151 ",,"$265,151 ",Annual,21031.0,1.0,East Palo Alto,298.1100809,4905.3854280000005,-122.13444740000001,37.48164373
3,63013150,88.52528843,528.5834232,Single Family Residential,1953,2230.42,2015,8605,38188,46793,9.166672554,6.551205821,60.052758600000004,0.34600000000000003,5689.61910898248,attached,-122.13673882,37.48105642,"2813 Georgetown St, East Palo Alto, CA 94303, USA",2813 Georgetown St,5789.13,1.0,,"$38,951.00 ",1.0,1.0,1.0,Single Family Residence,3,63,15,0.0,184035,319.97,,5/25/2007,2017,"$8,777 ",,"$47,728 ","$7,000 ","$40,728 ",Annual,21019.0,1.0,East Palo Alto,317.4048746,5689.624615,-122.1367388,37.48105642
4,63023130,66.33649911,1316.937149,Single Family Residential,1952,2661.2,2015,28257,59104,87361,25.31489829,10.17226721,257.50990989999997,1.0,14175.379778121101,detached,-122.13439461,37.48102458,"2847 Temple Ct, East Palo Alto, CA 94303, USA",2847 Temple Ct,14195.97,1.0,1.0,"$153,000.00 ",0.0,1.0,0.0,Single Family Residence,3,63,13,0.0,183927,470.51,,5/25/2007,2017,"$714,000 ",,"$867,000 ",,"$867,000 ",Annual,21031.0,1.0,East Palo Alto,469.9767256,14175.3935,-122.1343946,37.48102458
5,63023010,850.5513494999999,634.0099282000001,Single Family Residential,1953,7564.22,2015,269629,269629,539258,18.39290134,5.342917472,98.27175394,0.192,6824.41946615198,attached,-122.13361869999999,37.48218922,"2895 Illinois St, East Palo Alto, CA 94303, USA",2895 Illinois St,6944.82,1.0,,"$275,021.00 ",0.0,1.0,0.0,Single Family Residence,3,63,1,0.0,183939,333.76,,5/25/2007,2017,"$275,021 ",,"$550,042 ","$7,000 ","$543,042 ",Annual,21031.0,1.0,East Palo Alto,330.75077089999996,6824.426070999999,-122.13361869999999,37.48218921
6,63011040,442.05078719999995,590.8099422,Single Family Residential,1953,4595.4,2015,130584,130584,261168,20.40818383,6.3655876220000005,129.9100824,0.385,6359.41913684658,attached,-122.13816892,37.4815256,"1673 Tulane Ave, East Palo Alto, CA 94303, USA",1673 Tulane Ave,6347.58,1.0,,"$135,226.00 ",0.0,1.0,0.0,Single Family Residence,1,63,4,0.0,184076,350.06,,5/25/2007,2017,"$135,226 ",,"$270,452 ","$7,000 ","$263,452 ",Annual,21019.0,1.0,East Palo Alto,350.50683169999996,6359.42529,-122.1381689,37.48152561
7,63013080,77.2194418,464.52032239999994,Single Family Residential,1953,2189.08,2015,9268,26602,35870,14.39793616,5.113626422,73.62566678,-1.0,5000.05029828136,none,-122.13740674,37.48126298,"1690 Tulane Ave, East Palo Alto, CA 94303, USA",1690 Tulane Ave,5027.57,,,"$27,134.00 ",1.0,1.0,1.0,Single Family Residence,3,63,8,0.0,184042,301.1,,5/25/2007,2017,"$9,453 ",,"$36,587 ",,"$36,587 ",Annual,21019.0,1.0,East Palo Alto,300.00226760000004,5000.055136999999,-122.1374067,37.48126298
8,63023390,649.8230017999999,464.65575880000006,Single Family Residential,1953,5070.9,2015,150972,150972,301944,18.62470604,5.086133607,94.72774332,-1.0,5001.50812214732,none,-122.13382483,37.48218851,"2890 Fordham St, East Palo Alto, CA 94303, USA",2890 Fordham St,4747.28,,,"$153,991.00 ",0.0,1.0,0.0,Single Family Residence,3,63,39,0.0,183901,294.11,,5/25/2007,2017,"$153,991 ",,"$307,982 ",,"$307,982 ",Annual,21031.0,1.0,East Palo Alto,298.311059,5001.512961,-122.13382479999999,37.48218851
9,63023380,73.41142754,593.7903874,Single Family Residential,1953,1899.74,2015,8757,34834,43591,9.532582881,6.786678342999999,64.69457379,0.34600000000000003,6391.50035093486,attached,-122.13401645,37.48215512,"2886 Fordham St, East Palo Alto, CA 94303, USA",2886 Fordham St,6387.73,1.0,,"$35,530.00 ",1.0,1.0,1.0,Single Family Residence,3,63,38,0.0,183902,332.34,,5/25/2007,2017,"$8,932 ",,"$44,462 ","$7,000 ","$37,462 ",Annual,21031.0,1.0,East Palo Alto,330.5383828,6391.506536999999,-122.1340165,37.48215512
