APN,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
62111020,915 Alberni St,6553.18,1,,"$135,074.00 ",0,0,0,Single Family Residence,1,62,2,0,184537,346.33,,5/25/2007,2017,"$189,108 ",,"$324,182 ",,"$324,182 ",Annual,21019,1,East Palo Alto,368.0209466,7341.100646,-122.1532975,37.47426264
62111030,923 Alberni St,6027.63,1,,"$386,803.00 ",0,1,0,Single Family Residence,1,62,3,0,184536,337.06,,5/25/2007,2017,"$386,803 ",,"$773,606 ",,"$773,606 ",Annual,21019,1,East Palo Alto,360.5718553,6894.658543,-122.1530966,37.47423363
62112010,1304 Saratoga Ave,6913.1,1,,"$129,452.00 ",0,1,0,Single Family Residence,2,62,1,0,184535,352.93,,5/25/2007,2017,"$42,865 ",,"$172,317 ","$7,000 ","$165,317 ",Annual,21019,1,East Palo Alto,371.565312,7599.045113,-122.1527183,37.47418027
62112020,939 Alberni St,6846.67,1,,"$126,948.00 ",0,1,0,Single Family Residence,2,62,2,0,184534,351.97,,5/25/2007,2017,"$126,948 ",,"$253,896 ",,"$253,896 ",Annual,21019,1,East Palo Alto,363.5297753,7103.16132,-122.1525091,37.47415399
62112030,947 Alberni St,6617.69,1,,"$73,546.00 ",0,1,0,Single Family Residence,2,62,3,0,184533,347.94,,5/25/2007,2017,"$51,475 ",,"$125,021 ","$7,000 ","$118,021 ",Annual,21019,1,East Palo Alto,363.7787014,7073.095835,-122.1523094,37.47412441
62112040,1303 Westminster Ave,6377.76,1,,"$240,221.00 ",0,1,0,Single Family Residence,2,62,4,0,184532,343.67,,5/25/2007,2017,"$240,221 ",,"$480,442 ",,"$480,442 ",Annual,21019,1,East Palo Alto,359.4209323,6814.455087,-122.152113,37.47409693
62113010,1308 Westminster Ave,4656.24,,,"$33,660.00 ",1,1,1,Single Family Residence,3,62,1,0,184531,276.35,,5/25/2007,2017,"$9,453 ",,"$43,113 ","$7,000 ","$36,113 ",Annual,21019,1,East Palo Alto,278.2616897,4731.336198,-122.1516711,37.47411515
62113020,1003 Alberni St,4719.27,,,"$185,400.00 ",0,1,0,Single Family Residence,3,62,2,0,184530,285.87,,5/25/2007,2017,"$185,400 ",,"$370,800 ","$7,000 ","$363,800 ",Annual,21019,1,East Palo Alto,300.526046,5348.845599,-122.1517316,37.47395684
62113030,1011 Alberni St,5496.15,,,"$100,135.00 ",0,1,0,Single Family Residence,3,62,3,0,184529,322.68,,5/25/2007,2017,"$90,270 ",,"$190,405 ",,"$190,405 ",Annual,21019,1,East Palo Alto,337.7349388,5864.112781,-122.1514747,37.47400804
62113040,1015 Alberni St,5761.28,1,,"$29,993.00 ",1,1,1,Single Family Residence,3,62,4,0,184528,327.43,,5/25/2007,2017,"$9,453 ",,"$39,446 ","$7,000 ","$32,446 ",Annual,21019,1,East Palo Alto,342.4147682,6144.8726,-122.1513048,37.47398437
62113050,1019 Alberni St,5432.24,,,"$85,873.00 ",0,1,0,Single Family Residence,3,62,5,0,184527,321.63,,5/25/2007,2017,"$85,873 ",,"$171,746 ",,"$171,746 ",Annual,21019,1,East Palo Alto,336.5323224,5791.931794,-122.151136,37.47396083
62113060,1023 Alberni St,5850.06,1,,"$165,043.00 ",0,1,0,Single Family Residence,3,62,6,0,184526,329.09,,5/25/2007,2017,"$165,043 ",,"$330,086 ",,"$330,086 ",Annual,21019,1,East Palo Alto,343.92332,6235.358151,-122.1509659,37.47393711
62113070,1027 Alberni St,5777.52,1,,"$116,799.00 ",0,1,0,Single Family Residence,3,62,7,0,184525,327.85,,5/25/2007,2014,"$47,311 ",,"$164,110 ",,"$164,110 ",Annual,21019,1,East Palo Alto,337.7686685,5866.112516,-122.1507947,37.47391325
62113080,1031 Alberni St,5799.51,1,,"$342,292.00 ",0,1,0,Single Family Residence,3,62,8,0,184524,328.28,,5/25/2007,2017,"$342,292 ",,"$684,584 ",,"$684,584 ",Annual,21019,1,East Palo Alto,342.1594101,6129.604643,-122.1506251,37.4738896
62113090,1035 Alberni St,5004.09,,,"$150,000.00 ",0,1,0,Single Family Residence,3,62,9,0,184523,314.2,,5/25/2007,2017,"$540,000 ",,"$690,000 ",,"$690,000 ",Annual,21019,1,East Palo Alto,339.0387435,5942.351589,-122.1504543,37.47386579
