APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address
063024010,185.1072387,825.2837712,Single Family Residential,1952,3378.18,2015,76383,76383,152766,13.09277712,12.82827116,167.9576952,0.692,8883.27198481968,detached,-122.13312461,37.48223715,"2896 Illinois St, East Palo Alto, CA 94303, USA"
063011180,232.9427681,515.4742556,Single Family Residential,1953,2728.14,2015,51460,68616,120076,18.62470604,5.086133607,94.72774332,-1,5548.51333985284,attached,-122.13587534,37.48213399,"1767 Tulane Ave, East Palo Alto, CA 94303, USA"
063023340,570.4160959,455.7252186,Single Family Residential,1953,4616.08,2015,180376,79577,259953,9.402257145,6.185735518,58.15987597,0.192,4905.38068048854,none,-122.13444738,37.48164373,"2870 Fordham St, East Palo Alto, CA 94303, USA"
063013150,88.52528843,528.5834232,Single Family Residential,1953,2230.42,2015,8605,38188,46793,9.166672554,6.551205821,60.0527586,0.346,5689.61910898248,attached,-122.13673882,37.48105642,"2813 Georgetown St, East Palo Alto, CA 94303, USA"
063023130,66.33649911,1316.937149,Single Family Residential,1952,2661.2,2015,28257,59104,87361,25.31489829,10.17226721,257.5099099,1,14175.3797781211,detached,-122.13439461,37.48102458,"2847 Temple Ct, East Palo Alto, CA 94303, USA"
063023010,850.5513495,634.0099282,Single Family Residential,1953,7564.22,2015,269629,269629,539258,18.39290134,5.342917472,98.27175394,0.192,6824.41946615198,attached,-122.1336187,37.48218922,"2895 Illinois St, East Palo Alto, CA 94303, USA"
063011040,442.0507872,590.8099422,Single Family Residential,1953,4595.4,2015,130584,130584,261168,20.40818383,6.365587622,129.9100824,0.385,6359.41913684658,attached,-122.13816892,37.4815256,"1673 Tulane Ave, East Palo Alto, CA 94303, USA"
063013080,77.2194418,464.5203224,Single Family Residential,1953,2189.08,2015,9268,26602,35870,14.39793616,5.113626422,73.62566678,-1,5000.05029828136,none,-122.13740674,37.48126298,"1690 Tulane Ave, East Palo Alto, CA 94303, USA"
063023390,649.8230018,464.6557588,Single Family Residential,1953,5070.9,2015,150972,150972,301944,18.62470604,5.086133607,94.72774332,-1,5001.50812214732,none,-122.13382483,37.48218851,"2890 Fordham St, East Palo Alto, CA 94303, USA"
063023380,73.41142754,593.7903874,Single Family Residential,1953,1899.74,2015,8757,34834,43591,9.532582881,6.786678343,64.69457379,0.346,6391.50035093486,attached,-122.13401645,37.48215512,"2886 Fordham St, East Palo Alto, CA 94303, USA"
063023020,502.1198906,538.8414302,Single Family Residential,1952,4731,2015,164460,106103,270563,18.09780892,4.995737155,90.41189642,-1,5800.03527052978,attached,-122.13365244,37.4819701,"2893 Illinois St, East Palo Alto, CA 94303, USA"
063011110,546.7626688,533.3264626,Single Family Residential,1953,4881.92,2015,152292,139311,291603,11.19337772,5.125950081,57.37669543,-1,5740.67271078014,attached,-122.137021,37.48182243,"1719 Tulane Ave, East Palo Alto, CA 94303, USA"
063023050,649.7037496,1250.106684,Single Family Residential,1952,3323.42,2015,705598,106601,812199,21.89950894,13.21588684,289.421432,1,13456.023335907601,detached,-122.13396298,37.48178046,"2801 Drew Ct, East Palo Alto, CA 94303, USA"
063023360,1099.841478,577.3559307,Single Family Residential,1953,7331.56,2015,317500,317500,635000,7.270432627,5.125950081,37.26787471,-1,6214.60150246173,attached,-122.13427733,37.48189469,"2878 Fordham St, East Palo Alto, CA 94303, USA"
063011030,406.3855681,590.7591678,Single Family Residential,1953,4323.82,2015,120038,120038,240076,18.62470604,5.086133607,94.72774332,-1,6358.87260628242,attached,-122.13833604,37.48148366,"1665 Tulane Ave, East Palo Alto, CA 94303, USA"
063022040,432.4191954,480.3371409,Single Family Residential,1953,4050.22,2015,134879,72828,207707,11.91245551,5.714448505,68.07311357,0.192,5170.30095093351,none,-122.13527158,37.48130452,"2845 Fordham St, East Palo Alto, CA 94303, USA"
063013020,1076.536033,471.5346114,Single Family Residential,1953,7298.58,2015,253812,253812,507624,9.885666799,4.995737155,49.38619292,-1,5075.55140364846,none,-122.13838615,37.48099577,"1648 Tulane Ave, East Palo Alto, CA 94303, USA"
063023090,572.7174244,566.7297452,Single Family Residential,1952,5316.02,2015,162288,162288,324576,11.55941962,5.125950081,59.25300795,-1,6100.22230435828,attached,-122.13377562,37.48109759,"2867 Illinois St, East Palo Alto, CA 94303, USA"
063022060,334.3394195,474.0033354,Single Family Residential,1953,3517.04,2015,120302,38176,158478,11.72740562,10.63585784,124.731019,0.615,5102.12450191206,none,-122.13543768,37.48106424,"2833 Fordham St, East Palo Alto, CA 94303, USA"
063011170,749.5858348,518.0514119,Single Family Residential,1953,6006.46,2015,194162,194162,388324,13.3257658,5.467429345,72.85768297,0.192,5576.253592550409,attached,-122.13603584,37.48208941,"1761 Tulane Ave, East Palo Alto, CA 94303, USA"
063024050,49.05854936,737.4453682,Single Family Residential,1952,2192.42,2015,9268,26910,36178,16.12642581,10.82467286,174.5632838,0.846,7937.788198767979,detached,-122.13303511,37.48165033,"2872 Illinois St, East Palo Alto, CA 94303, USA"
063023040,329.7358645,591.6675163,Single Family Residential,1952,3868.86,2015,97547,97547,195094,18.62470604,5.062647329,94.29031829,-1,6368.64997870157,attached,-122.13361742,37.48162861,"2885 Illinois St, East Palo Alto, CA 94303, USA"
063021030,395.887176,710.7732128,Single Family Residential,1953,4771.24,2015,140693,140693,281386,10.6569294,8.051902213,85.80855341,0.538,7650.69178525792,detached,-122.13455926,37.48235128,"2873 Fordham St, East Palo Alto, CA 94303, USA"
063024030,860.4195836,662.4674878,Single Family Residential,1952,7551.48,2015,285000,285000,570000,15.906258,10.07532032,160.2606444,0.846,7130.733791930419,attached,-122.13305604,37.48193837,"2884 Illinois St, East Palo Alto, CA 94303, USA"
063011020,415.4371102,603.0539734,Single Family Residential,1953,4514.04,2015,125265,125266,250531,13.93926446,5.361255561,74.7319591,0.192,6491.21266428026,attached,-122.13850168,37.48144241,"1651 Tulane Ave, East Palo Alto, CA 94303, USA"
063023060,427.7959704,923.0451601,Single Family Residential,1952,6077.4,2015,351365,43510,394875,16.4832959,10.07532032,166.0744861,0.923,9935.56579880039,detached,-122.13418313,37.4814984,"2879 Drew Ct, East Palo Alto, CA 94303, USA"
